,original,normalized
0,Незачто друг,Не|за|что друг
1,И что,И что
2,Дублировать я хз это к разрабам телеги обращайся,Дублировать я хрен|знает это к разработчикам Телеграма обращайся
3,Старший сетевой архитектор компании Akamai Джаред Мауч Jared Mauch из штата Мичиган США развернул личную полноценную оптоволоконную сеть с доступом в интернет,Старший сетевой архитектор компании <foreign> Джаред Мауч <foreign> <foreign> из штата Мичиган США развернул личную полноценную оптоволоконную сеть с доступом в интернет
4,Готовка,Готовка
5,ИЗ ЖИЗНИ РЕДАКЦИИ,Из жизни редакции
6,Благодарю за отклик,Благодарю за отклик
7,Лучший,Лучший
8,Вам у нас понравится,Вам у нас понравится
9,Интересует печать визиток хочется чтобы был выбор бумаги,Интересует печать визиток хочется чтобы был выбор бумаги
10,кому 200,Кому 200
11,Наращивание ногтей 30 3 4 часа Лимассол Ипсонас,Наращивание ногтей 30 3 4 часа Лимасол Ипсонас
12,Опыт работы приветствуется,Опыт работы приветствуется
13,Дівчатка може в когось є книжечки для хлопчика 8 років українською чи російською мовою,<foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign>
14,2 лишний,2 лишний
15,Мирай из будущего,Мирай из будущего
16,также я сейчас прохожу обучение на курсе повышения профессиональной квалификации,Также я сейчас прохожу обучение на курсе повышения профессиональной квалификации
17,Именно но с одной оговоркой,Именно но с одной оговоркой
18,Добрый день,Добрый день
19,Домашний халуми оливки хлеб орешки колбаски и т д,Домашний халуми оливки хлеб орешки колбаски и так д
20,если что то не выходит попробуй в другом ракурсе например,Если что-то <hyphen> не выходит попробуй в другом ракурсе например
21,может не по версии LTPO а по технологии LTPO,Может не по версии <foreign> а по технологии <foreign>
22,Выздоравливай,Выздоравливай
23,Як правило такі люди першим ділом не вчиняють потрібні дії з облаштування табору а позують фотографам впираючи одну руку в бік а іншу відставляють убік спираючи на льодоруб лижну палицю і т д тому їх силует сильно нагадує чайник,<foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign>
24,Мне очень нравится твое творчество,Мне очень нравится твоё творчество
25,Всем доброго дня,Всем доброго дня
26,Потому что Джеймса Бонда отличает английский лоск шик и шарм,Потому что Джеймса Бонда отличает английский лоск шик и шарм
27,Все прокси серверы бесплатны и для общественного пользования,Все прокси серверы бесплатны и для общественного пользования
28,Но по проводу я не проверял,Но по проводу я не проверял
29,Открыл приложение моего кинетика выбрал нужное устройство эпл тв которое в роутере было зарегистрировано ушёл в настройки нашёл интернет фильтры и сменил профиль с безопасного на без фильтрации,Открыл приложение моего Кинетика выбрал нужное устройство Эпл Тв которое в роутере было зарегистрировано ушёл в настройки нашёл интернет-фильтры <hyphen> и сменил профиль с безопасного на без фильтрации
30,Четвёртый,Четвёртый
31,А у меня тел дороже вашего говно яблока,А у меня телефон дороже вашего говно яблока
32,Ооо моё почтение,<interjection> моё почтение
33,Ты экосистему гугла собираешь,Ты экосистему гугла собираешь
34,Относительно флагманы,Относительно флагманы
35,2 часа ночи,2 часа ночи
36,Спасибо,Спасибо
37,жоский пон приследует,Жёсткий пон преследует
38,о вау,<interjection> <interjection>
39,Троттлить начнет еще на загрузке В андроид,Троттлить начнёт ещё на загрузке в андроид
40,скидывать ценник как минимум,Скидывать ценник как минимум
41,Какую платформу гаппса выбирать,Какую платформу гаппса выбирать
42,Там полуторка,Там полуторка
43,Хочу есть,Хочу есть
44,Ждем пластик,Ждём пластик
45,типа прораб,Типа прораб
46,блокировку своих приложений в App Store,блокировку своих приложений в <foreign> <foreign>
